;t;T1;T2;T;p
0;0.4592415;297.6882317;375.9892866;297.6882317;5
1;0.713449;297.6937725;375.9240183;297.6937725;5
2;0.954601;297.7007002;375.9566316;297.7007002;5
3;1.1846376;297.709016;375.6001536;297.709016;5
4;1.4170578;295.9906383;339.7497434;295.9906383;5
5;1.652783;294.9198946;339.7497434;294.9198946;5
6;1.8898884;297.7228817;374.4978949;297.7228817;5
7;2.1262098;297.7339798;349.1749153;297.7339798;5
8;2.366086;297.7381429;349.186264;297.7381429;5
9;2.5956609;296.015247;374.7145754;296.015247;5
10;2.8323572;296.0256159;374.839223;296.0256159;5
11;3.0684691;297.7520247;374.7768232;297.7520247;5
12;3.3087413;297.7561907;374.839223;297.7561907;5
13;3.5413205;297.7673035;349.0730074;297.7673035;5
14;3.7782258;297.7742515;349.2089768;297.7742515;5
15;4.016964;296.0476638;374.9331094;296.0476638;5
16;4.250561;297.7853723;374.7768232;297.7853723;5
17;4.4863372;297.7937162;374.9331094;297.7937162;5
18;4.7229888;297.796498;349.1635717;297.796498;5
19;4.9648682;297.8131958;349.0956178;297.8131958;5
20;5.1950772;296.0918179;374.9644817;296.0918179;5
21;5.430204;296.0970176;374.9017756;296.0970176;5
22;5.6670174;297.8410502;374.9958925;297.8410502;5
23;5.906979;297.8577776;375.027342;297.8577776;5
24;6.1398376;297.8717256;349.1522333;297.8717256;5
25;6.3739356;297.8842855;349.186264;297.8842855;5
26;6.6077161;296.1647118;375.0588303;296.1647118;5
27;6.8409171;296.1829684;374.9017756;296.1829684;5
28;7.0735865;297.9373852;375.1851727;297.9373852;5
29;7.3090003;297.9555766;375.0903574;297.9555766;5
30;7.541955;297.9793853;349.1635717;297.9793853;5
31;7.7745277;298.0060218;349.1635717;298.0060218;5
32;8.0110347;296.2914774;374.7768232;296.2914774;5
33;8.2486375;298.0621908;375.0588303;298.0621908;5
34;8.48442;298.102992;375.027342;298.102992;5
35;8.7188427;298.132579;349.1295718;298.132579;5
36;8.9615188;298.1763189;349.2089768;298.1763189;5
37;9.1911863;296.4571031;374.9017756;296.4571031;5
38;9.4246561;296.4953784;374.9644817;296.4953784;5
39;9.660251;298.3108359;374.9644817;298.3108359;5
40;9.903512;298.3619993;374.9644817;298.3619993;5
41;10.1348723;298.4061402;349.1522333;298.4061402;5
42;10.3732105;298.4660679;349.1976178;298.4660679;5
43;10.6097473;296.7489347;374.9644817;296.7489347;5
44;10.8456775;298.594967;374.9644817;298.594967;5
45;11.0819414;298.6539073;374.9644817;298.6539073;5
46;11.3166663;298.7216434;374.9017756;298.7216434;5
47;11.5584352;298.7953511;349.1635717;298.7953511;5
48;11.7886216;297.0658052;375.0588303;297.0658052;5
49;12.0241944;297.1375196;374.9331094;297.1375196;5
50;12.2604448;299.0396912;374.9644817;299.0396912;5
51;12.4974853;299.1099406;375.0903574;299.1099406;5
52;12.7266765;299.2127405;349.1522333;299.2127405;5
53;12.9665035;299.2952837;349.2089768;299.2952837;5
54;13.1941121;297.5459753;374.9644817;297.5459753;5
55;13.4279265;297.6342729;375.027342;297.6342729;5
56;13.6644723;299.5803615;374.9331094;299.5803615;5
57;13.9062897;299.6806065;375.0903574;299.6806065;5
58;14.1349179;299.7737274;349.1409;299.7737274;5
59;14.3713431;299.8762575;349.2430847;299.8762575;5
60;14.6074053;298.0790661;375.027342;298.0790661;5
61;14.8436903;300.0703951;375.0903574;300.0703951;5
62;15.0779947;300.1649713;374.9958925;300.1649713;5
63;15.3149107;300.2522348;375.0588303;300.2522348;5
64;15.5518171;300.3413406;349.1409;300.3413406;5
65;15.78233;298.5060991;374.9331094;298.5060991;5
66;16.0157851;298.594967;374.9644817;298.594967;5
67;16.2489853;300.5748124;375.027342;300.5748124;5
68;16.4869165;300.7025108;374.9644817;300.7025108;5
69;16.7213401;300.7947934;349.1182487;300.7947934;5
70;16.9595874;300.8842699;349.1635717;300.8842699;5
71;17.1911143;298.9842158;374.9644817;298.9842158;5
72;17.4262767;299.0630859;374.9017756;299.0630859;5
73;17.6624803;301.1276143;375.0903574;301.1276143;5
74;17.9046281;301.2135024;375.0588303;301.2135024;5
75;18.1347403;301.2884958;349.186264;301.2884958;5
76;18.370083;301.3637129;349.2089768;301.3637129;5
77;18.6087935;299.4255438;374.9331094;299.4255438;5
78;18.8420481;301.518049;374.9958925;301.518049;5
79;19.0777815;301.5923379;374.9958925;301.5923379;5
80;19.3114595;301.6473882;375.0588303;301.6473882;5
81;19.5509241;301.7513394;349.1522333;301.7513394;5
82;19.7839617;299.7466568;375.2168562;299.7466568;5
83;20.0196511;299.8234325;374.9644817;299.8234325;5
84;20.2558685;301.9457705;375.1535285;301.9457705;5
85;20.496944;302.0065307;375.0903574;302.0065307;5
86;20.7292011;302.0872229;349.1182487;302.0872229;5
87;20.9673918;302.1549399;349.1749153;302.1549399;5
88;21.1998658;300.1435843;374.9017756;300.1435843;5
89;21.4333812;300.1940255;374.9958925;300.1940255;5
90;21.6673332;302.3441874;374.8704801;302.3441874;5
91;21.9069362;302.4075868;375.1535285;302.4075868;5
92;22.1353437;302.4728208;349.1522333;302.4728208;5
93;22.3698739;302.5331869;349.277239;302.5331869;5
94;22.605241;300.4864263;374.9331094;300.4864263;5
95;22.8417215;300.5375594;375.027342;300.5375594;5
96;23.0759286;302.7067032;375.0588303;302.7067032;5
97;23.3101324;302.7998487;375.0588303;302.7998487;5
98;23.5473146;299.3766172;349.1976178;299.3766172;5
99;23.7808253;300.7587787;375.1535285;300.7587787;5
100;24.0157976;300.8151724;339.7653028;300.8151724;5
101;24.2480411;303.0333721;375.248579;303.0333721;5
102;24.4840183;303.0916631;339.7186537;303.0916631;5
103;24.7199093;303.1449285;374.9958925;303.1449285;5
104;24.9581892;303.1862435;349.1522333;303.1862435;5
105;25.1846205;301.0768555;375.0588303;301.0768555;5
106;25.4196037;301.1339664;375.1219234;301.1339664;5
107;25.6544153;303.3764746;375.248579;303.3764746;5
108;25.8881228;303.4251269;375.0588303;303.4251269;5
109;26.1224442;303.4895616;349.1749153;303.4895616;5
110;26.3603214;303.5401798;349.1749153;303.5401798;5
111;26.5893983;301.3813494;375.1851727;301.3813494;5
112;26.8251875;301.4375477;375.1851727;301.4375477;5
113;27.0626145;303.7119894;375.0903574;303.7119894;5
114;27.3042275;303.7542441;375.0903574;303.7542441;5
115;27.5306477;303.810694;349.186264;303.810694;5
116;27.7666404;303.8672705;349.1069307;303.8672705;5
117;28.0019362;301.6830731;375.0903574;301.6830731;5
118;28.2371229;301.7350688;375.0903574;301.7350688;5
119;28.4726691;304.0324192;375.0903574;304.0324192;5
120;28.7098718;304.0912811;375.0903574;304.0912811;5
121;28.9464918;304.1359649;349.220341;304.1359649;5
122;29.1808075;304.1932759;375.027342;304.1932759;5
123;29.4190374;301.9720272;375.0903574;301.9720272;5
124;29.6518631;304.2902843;375.1219234;304.2902843;5
125;29.8925216;304.3389286;375.2803412;304.3389286;5
126;30.1269899;304.3967027;349.1635717;304.3967027;5
127;30.3659083;304.4455527;349.1749153;304.4455527;5
128;30.5987955;302.2095762;375.1535285;302.2095762;5
129;30.835919;302.2444065;375.0903574;302.2444065;5
130;31.0697316;300.8559799;375.248579;300.8559799;5
131;31.3078047;300.9173152;375.2803412;300.9173152;5
132;31.5421689;304.7022051;349.1295718;304.7022051;5
133;31.7790376;301.0072286;332.0804217;301.0072286;5
134;32.0147911;299.3766172;375.027342;299.3766172;5
135;32.2502201;304.8655589;339.8510545;304.8655589;5
136;32.4833957;304.9171704;339.7886603;304.9171704;5
137;32.7184645;301.1689313;375.0903574;301.1689313;5
138;32.9557491;301.2182825;349.0730074;301.2182825;5
139;33.186487;299.5624493;339.8432466;299.5624493;5
140;33.4192155;299.5714038;339.8276383;299.5714038;5
141;33.6540475;301.3412843;339.7730862;301.3412843;5
142;33.8925241;301.3653158;339.780872;301.3653158;5
143;34.1258029;301.4054191;331.7969538;301.4054191;5
144;34.3657123;301.452019;331.6676481;301.452019;5
145;34.594678;299.7421478;375.248579;299.7421478;5
146;34.8295705;299.740645;375.1851727;299.740645;5
147;35.063719;301.5567811;339.796451;301.5567811;5
148;35.3027326;301.5971905;375.1535285;301.5971905;5
149;35.5317313;301.6133724;348.859219;301.6133724;5
150;35.7685323;301.6457673;331.5836834;301.6457673;5
151;36.0034793;299.9276795;375.1535285;299.9276795;5
152;36.2419931;299.9185974;339.594683;299.9185974;5
153;36.4773466;305.7233153;339.5869553;305.7233153;5
154;36.7126535;305.7786205;375.0903574;305.7786205;5
155;36.9556928;301.867164;331.6452295;301.867164;5
156;37.18466;303.412955;374.9644817;303.412955;5
157;37.4205625;303.4355646;375.1851727;303.4355646;5
158;37.6567757;305.9837317;375.1851727;305.9837317;5
159;37.8994097;306.0280393;375.1851727;306.0280393;5
160;38.1286772;306.0782199;348.8704257;306.0782199;5
161;38.3674915;306.0917471;348.994031;306.0917471;5
162;38.5999585;303.6645373;375.3758654;303.6645373;5
163;38.8369945;303.7102303;375.3439843;303.7102303;5
164;39.073131;306.2585322;375.1851727;306.2585322;5
165;39.3084128;306.295529;375.2168562;306.295529;5
166;39.5443687;306.3423394;331.774417;306.3423394;5
167;39.7802905;306.3814144;375.1851727;306.3814144;5
168;40.0159325;303.8778927;339.6643403;303.8778927;5
169;40.2510292;306.4675927;375.1851727;306.4675927;5
170;40.4853096;306.5048971;375.2168562;306.5048971;5
171;40.7208854;306.5107923;348.9490131;306.5107923;5
172;40.9609408;306.6092487;331.825154;306.6092487;5
173;41.1924991;304.096639;375.1219234;304.096639;5
174;41.4290404;304.1395431;375.1851727;304.1395431;5
175;41.6640565;306.7199772;375.248579;306.7199772;5
176;41.9072958;302.6847372;339.9371033;302.6847372;5
177;42.1370221;302.7642435;331.6900873;302.7642435;5
178;42.3700851;302.8083336;331.7519007;302.8083336;5
179;42.6044215;300.9220395;340.0155892;300.9220395;5
180;42.8375971;300.934642;340.0549253;300.934642;5
181;43.0733297;302.8865284;340.0391834;302.8865284;5
182;43.3087834;302.939362;339.9371033;302.939362;5
183;43.543832;302.9496006;331.4666126;302.9496006;5
184;43.7777671;302.958136;375.471748;302.958136;5
185;44.0128888;304.5380836;339.780872;304.5380836;5
186;44.2478541;303.0162533;375.1851727;303.0162533;5
187;44.4806321;307.2182838;375.1535285;307.2182838;5
188;44.7144389;307.2587379;375.312143;307.2587379;5
189;44.9548624;307.3053403;348.9265344;307.3053403;5
190;45.1853003;301.2087231;375.2168562;301.2087231;5
191;45.4198002;304.7681536;375.2803412;304.7681536;5
192;45.6552119;307.4293556;375.3758654;307.4293556;5
193;45.8895538;307.4681079;375.2803412;307.4681079;5
194;46.1217423;307.5089641;331.6172349;307.5089641;5
195;46.3607263;307.5519343;331.6900873;307.5519343;5
196;46.5881051;304.9541004;375.1851727;304.9541004;5
197;46.8223104;304.9855335;375.2168562;304.9855335;5
198;47.0561192;307.6668799;375.248579;307.6668799;5
199;47.2968396;307.7121804;375.0903574;307.7121804;5
200;47.5277845;307.7575623;348.9153026;307.7575623;5
201;47.7657291;307.7988893;348.9490131;307.7988893;5
202;47.9979337;305.1619126;375.4077863;305.1619126;5
203;48.2349757;305.1992025;375.248579;305.1992025;5
204;48.4719473;307.9315916;375.2803412;307.9315916;5
205;48.7089949;307.9523894;375.3439843;307.9523894;5
206;48.9460197;303.6610258;349.0278476;303.6610258;5
207;49.1790746;308.0545466;375.4077863;308.0545466;5
208;49.4166528;301.8884291;375.2803412;301.8884291;5
209;49.6514454;308.1298647;375.248579;308.1298647;5
210;49.8874743;308.1550207;375.312143;308.1550207;5
211;50.118954;314.6143132;348.982769;314.6143132;5
212;50.3612145;303.8938344;331.7969538;303.8938344;5
213;50.5900061;305.5713738;375.4397471;305.5713738;5
214;50.8276571;305.6073772;375.2803412;305.6073772;5
215;51.0605116;308.3677479;339.7264225;308.3677479;5
216;51.3026732;304.0448936;375.3758654;304.0448936;5
217;51.5332326;304.0823538;331.5278658;304.0823538;5
218;51.7693567;304.1359649;331.5613411;304.1359649;5
219;52.0055468;305.7881681;339.8042441;305.7881681;5
220;52.2422733;304.195069;375.3758654;304.195069;5
221;52.473413;304.2165958;339.8198378;304.2165958;5
222;52.7083418;308.6506317;339.796451;308.6506317;5
223;52.9406175;304.2830857;348.9490131;304.2830857;5
224;53.1770204;304.3136939;331.4777382;304.3136939;5
225;53.4119457;302.232791;339.7886603;302.232791;5
226;53.6480149;308.8201707;339.6798463;308.8201707;5
227;53.8828048;308.8460231;339.7108874;308.8460231;5
228;54.1192711;304.4292589;375.4397471;304.4292589;5
229;54.3603972;308.9259017;348.96026;308.9259017;5
230;54.5929192;302.4510574;339.7186537;302.4510574;5
231;54.8299558;306.2060508;375.2803412;306.2060508;5
232;55.0640665;309.0233925;375.2168562;309.0233925;5
233;55.305344;304.5762833;339.6876029;304.5762833;5
234;55.5369494;309.125619;348.9153026;309.125619;5
235;55.7751024;304.7058644;331.4388206;304.7058644;5
236;56.0111339;302.5819204;339.7419673;302.5819204;5
237;56.2462679;304.726;375.3758654;304.726;5
238;56.4817568;304.7498173;375.3439843;304.7498173;5
239;56.7134252;304.7846676;375.248579;304.7846676;5
240;56.9501813;309.3599;348.9040759;309.3599;5
241;57.1977107;309.3907148;375.4077863;309.3907148;5
242;57.4328048;302.7608551;340.0785569;302.7608551;5
243;57.6704238;309.4745445;339.7886603;309.4745445;5
244;57.9078899;304.9430157;375.3439843;304.9430157;5
245;58.1389206;305.000339;331.3888741;305.000339;5
246;58.3714816;309.5808333;348.9040759;309.5808333;5
247;58.6109174;306.7378182;375.3758654;306.7378182;5
248;58.8464299;309.6652965;375.4077863;309.6652965;5
249;59.0795991;309.705404;375.3439843;309.705404;5
250;59.3136895;309.7567452;375.471748;309.7567452;5
251;59.5547139;309.7902848;348.9490131;309.7902848;5
252;59.7865718;306.9109335;375.3758654;306.9109335;5
253;60.0199482;306.9448996;375.3758654;306.9448996;5
254;60.25437;309.9046533;375.4077863;309.9046533;5
255;60.4956118;309.9181424;375.503789;309.9181424;5
256;60.7261243;305.3357798;331.455492;305.3357798;5
257;60.9667036;305.3714488;331.339029;305.3714488;5
258;61.1981965;303.30021;339.8042441;303.30021;5
259;61.4324587;303.2604359;339.8276383;303.2604359;5
260;61.6691446;305.4561294;339.8198378;305.4561294;5
261;61.9081365;305.4919688;339.8198378;305.4919688;5
262;62.1418572;305.5240789;349.0504173;305.5240789;5
263;62.3751555;305.5505531;331.3445623;305.5505531;5
264;62.6131875;303.3643261;339.6410995;303.3643261;5
265;62.8472282;305.6206546;339.9841651;305.6206546;5
266;63.0828806;305.6320407;339.8120397;305.6320407;5
267;63.3181332;305.6643294;331.3667082;305.6643294;5
268;63.5589606;310.4200718;331.2616925;310.4200718;5
269;63.7913612;303.487818;339.796451;303.487818;5
270;64.0251681;307.5212339;375.5679916;307.5212339;5
271;64.2621222;305.7938985;375.5358701;305.7938985;5
272;64.5008676;305.8187448;339.7264225;305.8187448;5
273;64.7282692;305.8608483;331.2176094;305.8608483;5
274;64.9665212;305.8800095;348.8704257;305.8800095;5
275;65.1996718;303.632952;339.7653028;303.632952;5
276;65.4385391;307.7080588;339.7264225;307.7080588;5
277;65.6774542;305.9625685;375.6001536;305.9625685;5
278;65.9115775;305.9856565;375.471748;305.9856565;5
279;66.1470549;306.0241834;331.2892848;306.0241834;5
280;66.3831116;307.829929;375.4397471;307.829929;5
281;66.621347;307.8693007;375.5679916;307.8693007;5
282;66.8544057;310.9438662;375.503789;310.9438662;5
283;67.093054;310.979018;375.471748;310.979018;5
284;67.3283463;306.1614302;331.305855;306.1614302;5
285;67.5655126;306.2002262;348.9153026;306.2002262;5
286;67.7946924;303.94172;375.3758654;303.94172;5
287;68.029517;303.9683624;375.503789;303.9683624;5
288;68.2638944;311.1673235;339.7264225;311.1673235;5
289;68.5042518;311.2051533;339.7653028;311.2051533;5
290;68.7292693;306.3599157;348.9040759;306.3599157;5
291;68.9660437;306.3814144;331.1900975;306.3814144;5
292;69.1997103;304.096639;375.471748;304.096639;5
293;69.4333618;308.2580015;339.7575219;308.2580015;5
294;69.6709578;311.3927715;375.6001536;311.3927715;5
295;69.9067879;306.4793671;375.4077863;306.4793671;5
296;70.136019;311.447657;348.9490131;311.447657;5
297;70.3721854;311.4883011;348.9377713;311.4883011;5
298;70.6074398;308.4143229;375.5358701;308.4143229;5
299;70.844068;311.5625854;375.3758654;311.5625854;5
300;71.0795753;311.581791;375.5358701;311.581791;5
301;71.3140957;311.6370884;375.503789;311.6370884;5
302;71.5507008;311.6659872;348.9490131;311.6659872;5
303;71.7815308;308.5673524;375.5679916;308.5673524;5
304;72.0151772;308.6036199;375.5358701;308.6036199;5
305;72.2535614;311.7770727;375.5679916;311.7770727;5
306;72.4857775;306.8351741;339.7419673;306.8351741;5
307;72.719697;306.8610662;331.4166096;306.8610662;5
308;72.9608097;306.9009522;331.327966;306.9009522;5
309;73.1910915;304.5599049;339.8510545;304.5599049;5
310;73.4222208;304.5926723;339.8823105;304.5926723;5
311;73.658425;306.9949327;339.7575219;306.9949327;5
312;73.8987623;307.0009433;339.8979533;307.0009433;5
313;74.1270832;307.0350307;331.1571239;307.0350307;5
314;74.3656667;307.079212;331.2121045;307.079212;5
315;74.5918681;304.6912304;339.7653028;304.6912304;5
316;74.8262051;308.9648529;375.6001536;308.9648529;5
317;75.0607051;312.1992709;339.695362;312.1992709;5
318;75.3018085;307.167807;375.6001536;307.167807;5
319;75.5335639;312.2756746;348.971512;312.2756746;5
320;75.7688998;312.32509;348.9153026;312.32509;5
321;76.0045988;309.1321582;375.5358701;309.1321582;5
322;76.2401793;304.8637176;375.6001536;304.8637176;5
323;76.4753769;312.4093182;375.6645991;312.4093182;5
324;76.7091047;312.4540233;339.7031235;312.4540233;5
325;76.9438097;312.5062792;348.8928542;312.5062792;5
326;77.1789343;307.3906626;339.7031235;307.3906626;5
327;77.4164336;304.9781339;339.7730862;304.9781339;5
328;77.6537978;307.4354705;339.7730862;307.4354705;5
329;77.8917081;307.4824001;339.796451;307.4824001;5
330;78.1244271;307.494657;348.8704257;307.494657;5
331;78.3652332;307.2567136;348.9153026;307.2567136;5
332;78.5973327;305.1228173;339.780872;305.1228173;5
333;78.83319;305.139565;375.6001536;305.139565;5
334;79.0704633;312.8296686;339.7575219;312.8296686;5
335;79.3083618;307.6380944;375.632356;307.6380944;5
336;79.5435106;312.8953511;348.8928542;312.8953511;5
337;79.7811677;312.9231913;375.6001536;312.9231913;5
338;80.0182009;309.6563924;375.632356;309.6563924;5
339;80.2549668;307.7451773;375.6968829;307.7451773;5
340;80.4931218;313.024687;375.6001536;313.024687;5
341;80.7244346;313.0603069;331.1516326;313.0603069;5
342;80.9659129;313.0603069;348.9040759;313.0603069;5
343;81.1928068;309.8037131;375.7292075;309.8037131;5
344;81.4279146;305.4335201;375.5679916;305.4335201;5
345;81.6607188;313.2058504;337.5483104;313.2058504;5
346;81.8984654;307.9440682;339.7341937;307.9440682;5
347;82.1297058;307.9773693;331.1187105;307.9773693;5
348;82.3673737;307.9961205;331.1022661;307.9961205;5
349;82.5952297;305.5373125;339.780872;305.5373125;5
350;82.8293408;305.5600149;339.7653028;305.5600149;5
351;83.0656687;308.0963623;339.7108874;308.0963623;5
352;83.3039908;308.1193905;339.7886603;308.1193905;5
353;83.5359701;308.1508263;331.0475305;308.1508263;5
354;83.7690148;308.1697066;331.0420636;308.1697066;5
355;84.0025797;305.6681308;339.7341937;305.6681308;5
356;84.2380554;310.1962671;375.632356;310.1962671;5
357;84.4733582;313.6137165;375.248579;313.6137165;5
358;84.7113708;313.6527817;375.5679916;313.6527817;5
359;84.9456728;313.6658169;348.9040759;313.6658169;5
360;85.1819922;310.3102058;375.5679916;310.3102058;5
361;85.4179483;310.3422008;375.6001536;310.3422008;5
362;85.6545824;308.3191475;375.6001536;308.3191475;5
363;85.8941293;313.8280127;375.6001536;313.8280127;5
364;86.1258711;313.8516439;348.859219;313.8516439;5
365;86.3649428;313.8779266;348.994031;313.8779266;5
366;86.5943595;310.4935817;375.7292075;310.4935817;5
367;86.8316409;310.5304169;375.471748;310.5304169;5
368;87.0697054;314.0467854;375.6645991;314.0467854;5
369;87.3077513;314.0361986;375.6968829;314.0361986;5
370;87.5363357;314.0679721;348.971512;314.0679721;5
371;87.7702906;314.0997855;348.982769;314.0997855;5
372;88.0045386;310.6806137;375.632356;310.6806137;5
373;88.2404009;310.7223648;375.7292075;310.7223648;5
374;88.4781402;314.2061199;375.761573;314.2061199;5
375;88.7130707;314.2301068;375.6645991;314.2301068;5
376;88.9548719;314.2621247;331.2616925;314.2621247;5
377;89.185613;310.841035;375.5679916;310.841035;5
378;89.4220644;306.3911926;375.632356;306.3911926;5
379;89.6579616;314.3637828;375.471748;314.3637828;5
380;89.8967234;314.4093939;375.7292075;314.4093939;5
381;90.1296411;314.4416395;349.0617098;314.4416395;5
382;90.3697011;314.5008634;349.0165703;314.5008634;5
383;90.6051739;311.0236138;339.5483531;311.0236138;5
384;90.8422459;314.5305273;375.6001536;314.5305273;5
385;91.0803519;314.5710342;339.5715072;314.5710342;5
386;91.3149296;309.0125416;339.8276383;309.0125416;5
387;91.5479678;309.1016566;331.3334969;309.1016566;5
388;91.7802114;306.6447872;339.8823105;306.6447872;5
389;92.016712;306.5954417;339.8744928;306.5954417;5
390;92.2526011;309.1801636;339.8588648;309.1801636;5
391;92.4829518;309.2020144;339.8666776;309.2020144;5
392;92.7165773;309.2457728;339.8666776;309.2457728;5
393;92.9514046;309.2654888;331.2341313;309.2654888;5
394;93.180553;306.6368854;339.8744928;306.6368854;5
395;93.4157299;306.6922496;339.8901306;306.6922496;5
396;93.6510621;314.9412851;375.632356;314.9412851;5
397;93.8874726;314.9714699;375.7292075;314.9714699;5
398;94.1221295;315.012689;349.0278476;315.012689;5
399;94.3621839;315.0457127;349.0052982;315.0457127;5
400;94.5934586;311.505056;375.6968829;311.505056;5
401;94.8302492;311.5362015;375.6645991;311.5362015;5
402;95.0675646;315.1422786;375.6001536;315.1422786;5
403;95.3073262;315.1754719;375.7292075;315.1754719;5
404;95.539518;315.2364395;349.0843101;315.2364395;5
405;95.7752593;315.2364395;349.1069307;315.2364395;5
406;96.0119861;306.9689031;339.796451;306.9689031;5
407;96.248725;309.6163624;339.8510545;309.6163624;5
408;96.4850443;309.6652965;339.9371033;309.6652965;5
409;96.7197133;309.6897991;339.8979533;309.6897991;5
410;96.961653;309.7098643;331.2616925;309.7098643;5
411;97.1922987;307.0510877;339.8432466;307.0510877;5
412;97.4239631;307.0772021;339.8666776;307.0772021;5
413;97.6587115;309.7925224;339.9057783;309.7925224;5
414;97.9019474;309.8037131;339.9057783;309.8037131;5
415;98.1296521;309.823869;331.1955974;309.823869;5
416;98.3664102;315.574411;349.0165703;315.574411;5
417;98.6008399;311.9909524;375.8914466;311.9909524;5
418;98.8362228;312.0251459;375.5679916;312.0251459;5
419;99.0704727;315.6984369;375.6001536;315.6984369;5
420;99.3067708;315.7493504;375.761573;315.7493504;5
421;99.5394067;315.7833497;349.0504173;315.7833497;5
422;99.7725759;315.8060413;349.0391299;315.8060413;5
423;100.0061949;312.1697571;375.6968829;312.1697571;5
424;100.2412661;315.8799297;375.7292075;315.8799297;5
425;100.4756676;315.9055568;375.6645991;315.9055568;5
426;100.7086293;310.073787;339.7575219;310.073787;5
427;100.942757;310.150835;331.2561778;310.150835;5
428;101.1785183;310.1780845;331.2672085;310.1780845;5
429;101.4117206;307.4701492;339.8588648;307.4701492;5
430;101.6467131;310.2212897;339.9057783;310.2212897;5
431;101.8793302;310.2531724;339.8744928;310.2531724;5
432;102.1141047;310.2736896;339.8666776;310.2736896;5
433;102.3515517;310.2828137;331.2286227;310.2828137;5
434;102.584219;307.5601274;339.8744928;307.5601274;5
435;102.8183602;307.5929263;339.8744928;307.5929263;5
436;103.0527642;316.2324318;375.761573;316.2324318;5
437;103.2920316;316.2844317;339.7419673;316.2844317;5
438;103.5240776;310.3879782;348.971512;310.3879782;5
439;103.764733;310.4040199;331.1571239;310.4040199;5
440;103.9931219;312.6236254;339.7264225;312.6236254;5
441;104.2289297;307.7224873;376.0547219;307.7224873;5
442;104.4660938;316.4556281;375.7292075;316.4556281;5
443;104.7064268;310.4981832;375.7292075;310.4981832;5
444;104.9370415;310.5373295;331.1132278;310.5373295;5
445;105.1738151;316.5606585;349.0730074;316.5606585;5
446;105.4093394;307.8030257;339.780872;307.8030257;5
447;105.6456475;316.6133375;339.796451;316.6133375;5
448;105.8805517;310.6481882;375.6968829;310.6481882;5
449;106.1172223;316.6866851;339.7730862;316.6866851;5
450;106.3581999;310.6852493;331.0913092;310.6852493;5
451;106.5830736;307.9315916;375.9240183;307.9315916;5
452;106.8139267;307.9440682;339.780872;307.9440682;5
453;107.0503529;310.7641849;375.8589163;310.7641849;5
454;107.2915764;310.8153923;375.8264273;310.8153923;5
455;107.5214373;310.8130625;331.074883;310.8130625;5
456;107.7626115;316.890234;348.994031;316.890234;5
457;107.9927356;313.0934275;339.6643403;313.0934275;5
458;108.2290551;313.1112796;339.6798463;313.1112796;5
459;108.4668919;310.5442439;375.6645991;310.5442439;5
460;108.7076592;317.017916;375.6968829;317.017916;5
461;108.9378941;317.0626082;349.0391299;317.0626082;5
462;109.1741577;317.0954326;349.0843101;317.0954326;5
463;109.4094988;313.2596833;375.7292075;313.2596833;5
464;109.6442325;317.1552227;375.6968829;317.1552227;5
465;109.8807734;317.1911647;375.8589163;317.1911647;5
466;110.1165279;311.0918331;339.8276383;311.0918331;5
467;110.3552947;311.1342687;331.1406537;311.1342687;5
468;110.5840363;308.4206806;339.8432466;308.4206806;5
469;110.8198234;308.3360414;339.8901306;308.3360414;5
470;111.055067;311.2027873;339.8666776;311.2027873;5
471;111.2959929;311.2311942;339.8666776;311.2311942;5
472;111.5260517;311.2501498;331.135166;311.2501498;5
473;111.7660472;311.276237;331.1296797;311.276237;5
474;111.9974638;308.4058483;339.8276383;308.4058483;5
475;112.2333871;308.4524935;339.8042441;308.4524935;5
476;112.4671959;311.3237373;339.7497434;311.3237373;5
477;112.7072127;311.3332481;339.780872;311.3332481;5
478;112.9360934;311.3641828;331.0256704;311.3641828;5
479;113.1688208;311.3832384;349.0504173;311.3832384;5
480;113.4045184;308.5077308;339.780872;308.5077308;5
481;113.635546;308.5098578;339.7653028;308.5098578;5
482;113.8711769;311.4524353;339.7341937;311.4524353;5
483;114.1073856;311.4883011;339.796451;311.4883011;5
484;114.3396435;311.51224;330.9493128;311.51224;5
485;114.5729868;311.505056;330.9329814;311.505056;5
486;114.8092112;313.8385127;375.761573;313.8385127;5
487;115.0456864;317.8685414;375.7292075;317.8685414;5
488;115.2809744;317.8962637;375.9566316;317.8962637;5
489;115.5163585;317.9240163;375.8264273;317.9240163;5
490;115.755265;317.9487109;348.994031;317.9487109;5
491;115.9884712;313.9806908;375.8264273;313.9806908;5
492;116.2250749;314.0018223;376.0547219;314.0018223;5
493;116.4585412;318.0663403;375.7939796;318.0663403;5
494;116.6965822;318.1098155;375.9240183;318.1098155;5
495;116.9252413;318.1004931;348.982769;318.1004931;5
496;117.1650753;318.1253605;349.0052982;318.1253605;5
497;117.3964041;314.131639;339.656591;314.131639;5
498;117.6319528;309.0038643;375.9240183;309.0038643;5
499;117.8692824;318.2344436;375.8914466;318.2344436;5
